,store_title,store_description,store_labels
5,American Jewel,"American Jewel Accessories, Bags & Beauty for girls and tweens.","['beauty', 'bag']"
9,Speezys,"Speezys Stylish Kaftan Wear. Dutch brand Speezys launches for the second season the ultimate stylish, comfortable and timeless kaftan. You want this special item and never take it off again! Available for me, women & kids.",[]
15,Weenie Warmers,"The Original Snuggle Sack for dogs who like to burrow under the covers. Weenie Warmers, Doggy Dream Blankets and Unique Items for Dogs and Dog Lovers.","['dog', 'blanket', 'gift']"
20,Somos Gallery,"Somos Gallery carries products by: Suavecito Pomade, Upper playground, Kidrobot, Rebel 8, Acrylick Clothing, Kustom Kulture, Pop Art,Lowbrow, Street Art, Designer Toys, Urban Vinyl Toys, Vinyl Records, pins, patches","['toy', 'single', 'art', 'book']"
27,Bath Bombs Soakey Dokey,"Hand crafted with skin nourishing coconut oil and a variety of vivid colors and intoxicating scents, Soakey Dokey bath bombs are sure to please! Choose your fav",['bath']
41,Helkey Philippines,The best Filipino baby shop for babies and mommies.,['baby']
57,House 2222,Beautifully curated woman's clothing collection.,[]
63,NetXtreme,A loja virtual dos esportes e atletas xtremers.,['para']
68,Sew Pretty Boutique,Loving Handcrafted children's accessories. Australian made in Lake Macquarie NSW,[]
75,HeartlandLEDs,"Specializing in LED bars and automotive replacement bulbs and accessories, we are your go to source for cost effective aftermarket and name brand LEDs","['light', 'led', 'bar', 'bulb']"
78,Spark and Spoon,"Shop for home cooking tools and gadgets - from basics to advanced to fun and seasonal, for the evolving home chef.","['kid', 'home', 'fun', 'gadget']"
86,andrea carrano,"Considered one of the most prestigious names in Italian shoe design, Carrano is the dream of La Dolce Vita against the reality of our everyday lives. The Carrano brand is our connection to what we think of when we think of “Made in Italy.”",['sneaker']
88,Eatmishirts,Come and get DIFFERENT with us! Part of a balanced wardrobe! Come and shop with us! We have something for everyone's clothing appetite!,[]
91,Ellie Jay Jewels   ,14k gold and diamond delicate and dainty jewelry,['earring']
93,Wear Something Different,"Creative clothing for the active, the brave, the intense, the wonderful.","['pant', 'yoga', 'legging']"
99,Mission Tolerance #LGBT,"LGBT Kleider Marke. Unsere Mission ist zu zeigen das Menschen, Menschen sind und Liebe, Liebe ist.",[]
102,Crown Me Boutique LLC,Shop a variety of extremely affordable women and men apparel and accessories !! Same day processing and shipping.,[]
105,Rollie's World,Welcome to Rollie's World. In Rollie's World we are having too much fun!,[]
107,Bperfect Gels Inc.,Professional Only Gel Nail Products,['gel']
108,Handmade Jewelry,"HaJuls is an online jewelry store that sells handmade jewelry. All our jewelry is made by hand by one of our Jul Artisians. We are located in Baton Rouge, LA.","['jewelry', 'handmade']"
113,Boondocks Outdoors,"Kids Apparel, Outdoor Apparel, T Shirts, Hoodies, Hunting Apparel, Sweat Pants, Hats, Pets","['apparel', 'shirt']"
114,lambert blacksmithing,"Lambert blacksmithing is a small shop making heirloom quality blacksmithing tools, farrier tools, jewelry, horse gear, cookware, home decor, gate and railing. More or less making whatever when the creativity comes.","['jewelry', 'tool']"
117,Alexia María,"Timeless femininity with a modern twist. Shop our collections of women's designer dress gowns, separates, and convertible dress pieces! Free domestic shipping, International shipping available!",['clothing']
123,Piggygarden,Buy garden and outdoor furniture | Teak | Aluminium | Rattan | plastic,"['picnic', 'garden', 'cover', 'outdoor', 'table', 'lighting', 'furniture']"
127,Stoke Threads,"Party Shirts, Party Shirt, Hawaiian Shirt, Hawaiian Shirts, Party Shirts Barcelona, Party Shirt Barcelona, Hawaiian Shirt Barcelona, Hawaiian Shirts Barcelona","['party', 'shirt']"
130,Deer Creek Bath Co,"Deer Creek Bath Co makes luxury handmade products such as bath bombs, shower steamers, sugar scrubs, bath salts, shower gels, lotions, body butter and manicure/pedicure sets.","['shower', 'gel', 'gift', 'bath', 'deer', 'body']"
135,Plus size clothing,Style has no size Feel good look amazing,[]
136,Country Girl Clothing,Country and vintage clothing,['clothing']
138,Welcome to Green Gizmo!,"Welcome to Green Gizmo, home of hand made custom accessories made by artists and musicians!","['gear', 'series', 'green', 'drum']"
143,Tila Candle Co,"Home Fragrance - Melts, Candles & Diffusers","['home', 'fragrance', 'candle']"
153,Swirl Boutique,"Swirl Boutique has store locations in Encinitas, Carlsbad, and San Clemente, California.","['bottom', 'boutique', 'jewelry', 'bikini', 'beauty']"
157,MTB Sickness,"MTB Sickness is the online stop for all the mountain biking gear you need! Our aim is to provide mountain bikers with sick, affordable clothing and accessories for even the most gnarly trails.",['mountain']
164,cule,"Cule is about 'Cultivating a Unique Lifestyle Experience' for our customers, bringing lifestyle products to you through a unique platform",[]
183,Cake decorating supplies,Affordable Cake Decorating Equipment and Supplies,"['supply', 'cake', 'equipment']"
188,Silver Guild,A fashion boutique where details matters. Confident. Chic. Comfortable. Couture.,['clothing']
189,Makeup Suitcase,"makeup organizer, makeup accessories, makeup kit,",['beauty']
199,CYD,Venta de leggins y productos deportivos,[]
200,PurpleLemonn,The official best place to shop fresh new looks from trendy fashion to adventurous styles. Shop the latest styles from Purple Lemonn today!,[]
